Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Бернард Бериша;ФК Ахмат;240;100;АП ЛЦ;-;-;-;-;-;1.00;-;4.00;-;-;-;-;1.00;-;-;-;32.00;84 %;-;-;5.00;60 %;4.00;100 %;2.00;100 %;-;-;3.00;100 %;5.00;60 %;3.00;-;2.00;2.00;1.00;3.00;13.00;62 %;4.00;75 %;9.00;56 %;2.00;0 %;5.00;100 %;-;-;4.00;75 %;3.00;4.00;1;1.00;-;-;57.00;45.00;79 %;-;-;-;-;0.57;-;-;-;2.10;0.55;1.55;-;-;27.00;-;3.00;4.00;2.00;-;3.00;3.00;8.00;3.00;5.00;-;5.00;-;3.00
Мирослав Богосавац;ФК Ахмат;243;100;ЗП Л;-;-;-;-;-;1.00;-;3.00;-;-;-;-;-;-;-;-;54.00;72 %;3.00;33 %;1.00;0 %;8.00;63 %;-;-;-;-;7.00;57 %;3.00;67 %;8.00;2.00;-;3.00;-;4.00;12.00;75 %;4.00;100 %;8.00;63 %;2.00;100 %;5.00;80 %;-;-;1.00;100 %;2.00;9.00;1;1.00;-;-;81.00;63.00;78 %;-;-;-;-;0.14;-;-;-;2.10;0.55;1.55;-;-;39.00;1.00;-;5.00;-;-;4.00;2.00;9.00;4.00;5.00;2.00;4.00;-;1.00
Ясмин Челикович;ФК Ахмат;193;100;З ПЦ;-;-;-;-;-;-;1.00;2.00;1.00;3.00;-;-;1.00;-;-;-;84.00;85 %;-;-;1.00;100 %;14.00;64 %;5.00;60 %;1.00;0 %;5.00;40 %;2.00;50 %;8.00;3.00;1.00;16.00;-;1.00;20.00;70 %;16.00;69 %;4.00;75 %;10.00;70 %;2.00;50 %;1.00;0 %;-;-;12.00;12.00;1;1.00;-;-;130.00;110.00;85 %;-;-;-;-;-;-;-;-;2.10;0.55;1.55;-;-;71.00;-;1.00;9.00;3.00;-;2.00;1.00;14.00;11.00;3.00;7.00;1.00;-;-
Роберто Карлос Фернандес Торо;Балтика;233;100;ЗП Л;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;1.00;-;0.02;46.00;67 %;-;-;5.00;0 %;12.00;42 %;3.00;33 %;1.00;100 %;7.00;29 %;7.00;57 %;9.00;-;-;8.00;2.00;4.00;20.00;50 %;13.00;38 %;7.00;71 %;3.00;0 %;7.00;71 %;-;-;5.00;60 %;7.00;8.00;1;1.00;-;-;87.00;61.00;70 %;0 %;1.00;-;-;0.03;0.02;-;0.00;0.55;2.10;-1.55;-;-;31.00;-;-;5.00;1.00;1.00;2.00;4.00;10.00;5.00;5.00;-;5.00;-;3.00
Натан Баба Гассама;Балтика;218;100;З ЛЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;34.00;76 %;-;-;1.00;100 %;11.00;64 %;3.00;100 %;-;-;4.00;50 %;1.00;100 %;3.00;2.00;-;6.00;1.00;1.00;19.00;68 %;17.00;71 %;2.00;50 %;8.00;75 %;1.00;100 %;-;-;-;-;3.00;3.00;1;1.00;-;-;61.00;47.00;77 %;-;-;-;-;-;-;-;-;0.55;2.10;-1.55;-;-;26.00;-;1.00;7.00;3.00;-;2.00;1.00;13.00;12.00;1.00;6.00;1.00;-;-
Евгений Харин;ФК Ахмат;216;100;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;-;0.01;67.00;90 %;-;-;-;-;10.00;60 %;1.00;100 %;1.00;100 %;6.00;50 %;-;-;4.00;1.00;-;8.00;1.00;5.00;13.00;69 %;11.00;64 %;2.00;100 %;4.00;50 %;-;-;-;-;1.00;0 %;6.00;8.00;1;1.00;-;-;104.00;91.00;88 %;0 %;1.00;-;-;0.25;0.01;-;0.00;2.10;0.55;1.55;0.04;0.02;60.00;-;-;6.00;1.00;1.00;3.00;-;9.00;7.00;2.00;2.00;-;-;-
Александр Осипов;Балтика;198;100;ЗП Ц;-;-;-;-;-;-;2.00;-;-;-;-;-;-;1.00;1.00;0.02;23.00;70 %;-;-;-;-;4.00;50 %;-;-;-;-;4.00;75 %;1.00;0 %;2.00;1.00;-;4.00;1.00;-;11.00;45 %;8.00;38 %;3.00;67 %;3.00;0 %;-;-;-;-;2.00;50 %;6.00;7.00;1;1.00;-;-;49.00;36.00;73 %;100 %;-;-;-;0.02;0.02;-;0.00;0.55;2.10;-1.55;-;-;16.00;-;-;2.00;-;-;3.00;-;5.00;3.00;2.00;-;-;-;1.00
Никола Радмановац;Балтика;210;100;З ПЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;34.00;82 %;-;-;-;-;10.00;60 %;1.00;100 %;-;-;3.00;67 %;-;-;2.00;-;-;5.00;1.00;-;3.00;67 %;3.00;67 %;-;-;2.00;100 %;-;-;-;-;1.00;0 %;9.00;10.00;1;1.00;-;-;57.00;50.00;88 %;-;-;-;-;-;-;-;-;0.55;2.10;-1.55;-;-;28.00;-;-;6.00;1.00;-;2.00;-;2.00;2.00;-;2.00;-;-;-
Антон Швец;ФК Ахмат;234;100;З Ц;-;-;1.00;-;0 %;-;-;-;-;1.00;-;-;-;1.00;1.00;0.52;36.00;86 %;-;-;-;-;4.00;75 %;1.00;100 %;-;-;3.00;100 %;-;-;3.00;2.00;1.00;6.00;1.00;-;13.00;69 %;10.00;80 %;3.00;33 %;8.00;75 %;-;-;-;-;1.00;100 %;6.00;4.00;1;1.00;-;-;62.00;52.00;84 %;100 %;-;-;-;0.04;0.52;-;0.00;2.10;0.55;1.55;-;-;31.00;-;-;3.00;1.00;-;3.00;-;9.00;8.00;1.00;6.00;-;-;1.00
Дарко Тодорович;ФК Ахмат;220;100;ЗП П;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;1.00;-;0.02;75.00;81 %;-;-;6.00;50 %;13.00;46 %;4.00;25 %;2.00;0 %;7.00;43 %;9.00;67 %;9.00;-;-;3.00;-;3.00;17.00;41 %;10.00;40 %;7.00;43 %;1.00;0 %;3.00;67 %;2.00;50 %;7.00;43 %;5.00;9.00;1;1.00;-;-;110.00;85.00;77 %;0 %;1.00;-;-;1.29;0.02;-;0.00;2.10;0.55;1.55;0.02;0.02;61.00;-;3.00;6.00;1.00;-;3.00;6.00;7.00;4.00;3.00;-;2.00;1.00;3.00
